reagent,severity,temp_bin,duration_bin,strength_bin,freq_weight_mean,predicted_api_loss_percent,predicted_degradant_percent,temperature_mean,duration_mean,strength_mean,pH_mean
HCl,mild,low,medium,high,0.0078260869565217,4.0,2.0,25.0,2.0,1.0,0.5
HCl,mild,low,medium,low,0.0078260869565217,2.0,1.0,25.0,6.0,0.01,2.0
HCl,mild,low,medium,medium,0.0078260869565217,5.0,2.5,25.0,13.0,0.3,1.0
HCl,moderate,high,medium,medium,0.0169565217391303,8.0,4.0,60.0,4.0,0.1,1.2
HCl,moderate,high,short,low,0.0104347826086956,6.0,3.0,60.0,1.0,0.01,2.0
HCl,moderate,mid,medium,low,0.0117391304347825,7.0,3.5,40.0,4.5,0.030000000000000002,1.75
HCl,moderate,mid,medium,medium,0.0156521739130434,9.0,4.5,40.0,6.0,0.1,1.2
HCl,moderate,mid,short,high,0.0104347826086956,12.0,6.0,40.0,1.0,1.0,0.5
HCl,strong,high,short,high,0.0104347826086956,16.0,8.0,60.0,0.5,1.0,0.5
HCl,unknown,high,medium,high,0.0888888888888888,25.0,12.0,110.0,3.0,1.0,
HCl,unknown,high,na,high,,18.0,9.0,60.0,,1.0,
HCl,unknown,high,na,medium,,15.0,7.0,80.0,,0.5,
HCl,unknown,high,short,high,0.0444444444444444,17.0,8.0,60.0,0.625,1.0,
HCl,unknown,mid,na,medium,,8.0,4.0,40.0,,0.1,
HCl,unknown,na,long,high,,28.0,14.0,,203.0,1.5,
HCl,unknown,na,long,medium,,12.0,6.0,,108.0,0.1,
HCl,unknown,na,medium,high,,20.0,10.0,,8.0,2.0,
HCl,unknown,na,medium,medium,,10.0,5.0,,6.5,0.1,
HCl,unknown,na,na,high,,15.0,7.0,,,1.0,
HCl,unknown,na,na,medium,,8.0,4.0,,,0.1,
HCl,unknown,na,short,high,,17.0,8.0,,0.625,1.0,
NaOH,mild,low,medium,high,0.0078260869565217,5.0,2.5,25.0,2.0,1.0,14.0
NaOH,mild,low,medium,low,0.0078260869565217,3.0,1.5,25.0,6.0,0.01,12.0
NaOH,mild,low,medium,medium,0.0078260869565217,6.0,3.0,25.0,13.0,0.3,13.25
NaOH,moderate,high,short,low,0.0104347826086956,7.0,3.5,60.0,1.0,0.01,12.0
NaOH,moderate,mid,medium,low,0.0117391304347825,8.0,4.0,40.0,4.5,0.030000000000000002,12.25
NaOH,moderate,mid,medium,medium,0.0156521739130434,10.0,5.0,40.0,6.0,0.1,13.0
NaOH,moderate,mid,short,high,0.0104347826086956,13.0,6.5,40.0,1.0,1.0,14.0
NaOH,strong,high,medium,medium,0.0130434782608695,11.0,5.5,60.0,2.0,0.1,13.0
NaOH,strong,high,short,high,0.0104347826086956,18.0,9.0,60.0,0.5,1.0,14.0
NaOH,strong,high,short,medium,0.0208695652173913,12.0,6.0,60.0,1.0,0.1,13.0
NaOH,unknown,high,medium,high,0.0888888888888888,28.0,14.0,110.0,3.0,1.0,
NaOH,unknown,high,na,high,,20.0,10.0,60.0,,1.0,
NaOH,unknown,high,na,medium,,16.0,8.0,70.0,,0.3,
