name,smiles,stress_type,reagent,severity,temp_bin,duration_bin,strength_bin,temperature_mean,duration_mean,strength_mean,pH_mean,initial_api_percent,initial_degradant_percent,true_api_loss_percent,true_degradant_percent,model_predicted_api_loss_percent,model_predicted_degradant_percent,avg_mass,logP,logS,PSA,HBD,HBA,rot_bonds,rings,pKa_acid,pKa_base,smb_mass_balance,amb_mass_balance,amb_deficiency,rmb_mass_balance,rmb_deficiency
Nitric Oxide,[N]=O,acid_hydrolysis,HCl,moderate,mid,medium,medium,40.0,6.0,0.1,1.2,100.0,0.0,11.0,5.5,7.27,3.07,30.0061,-0.35,,34.14,0.0,1.0,0.0,0.0,,-2.9,95.8,95.8,4.200000000000003,42.22833562585972,57.77166437414028
L-Glutamine,N[C@@H](CCC(N)=O)C(O)=O,base_hydrolysis,NaOH,strong,high,medium,medium,60.0,2.0,0.1,13.0,100.0,0.0,12.0,5.0,12.46,5.3,146.1445,-4.0,-0.17,106.41,3.0,4.0,4.0,0.0,2.15,9.31,92.83999999999999,92.83999999999999,7.160000000000011,42.53611556982341,57.46388443017659
Trospium,[H][C@]12CC[C@]([H])(C[C@@H](C1)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1)[N+]21CCCC1,acid_hydrolysis,HCl,moderate,high,medium,medium,60.0,4.0,0.1,1.2,100.0,0.0,7.0,3.5,5.24,2.11,392.518,-0.5,-6.8,46.53,1.0,2.0,5.0,5.0,11.05,-4.5,96.87,96.87,3.1299999999999955,40.26717557251912,59.73282442748088
Vidarabine,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,base_hydrolysis,NaOH,moderate,mid,medium,low,40.0,4.5,0.03,12.25,100.0,0.0,5.0,2.0,5.67,2.38,267.2413,-2.1,-1.3,139.54,4.0,8.0,2.0,3.0,12.45,3.94,96.71,96.71,3.2900000000000063,41.975308641975296,58.024691358024704
Betamethasone,[H][C@@]12C[C@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,base_hydrolysis,NaOH,strong,high,short,medium,60.0,1.0,0.1,13.0,100.0,0.0,15.0,6.0,12.36,5.26,392.4611,1.68,-3.9,94.83,3.0,5.0,2.0,4.0,12.42,-3.3,92.9,92.9,7.099999999999994,42.55663430420712,57.44336569579288
Oxyphencyclimine,CN1CCCN=C1COC(=O)C(O)(C1CCCCC1)C1=CC=CC=C1,base_hydrolysis,NaOH,strong,high,short,high,60.0,0.5,1.0,14.0,100.0,0.0,12.0,4.5,15.95,6.82,344.4479,2.62,-3.8,62.13,1.0,4.0,6.0,3.0,11.54,9.27,90.87,90.87,9.129999999999995,42.75862068965517,57.24137931034483
Ascorbic acid,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,base_hydrolysis,NaOH,moderate,mid,medium,low,40.0,4.5,0.03,12.25,100.0,0.0,2.0,1.0,5.9,2.49,176.1241,-1.9,0.14,107.22,4.0,5.0,2.0,1.0,4.16,-3.0,96.58999999999999,96.58999999999999,3.410000000000011,42.203389830508435,57.796610169491565
Vitamin E,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(O1)C(C)=C(C)C(O)=C2C,acid_hydrolysis,HCl,moderate,high,short,low,60.0,1.0,0.01,2.0,100.0,0.0,3.0,0.8,3.28,1.26,430.7061,10.51,-7.8,29.46,1.0,2.0,12.0,2.0,10.8,-4.9,97.98,97.98,2.019999999999996,38.414634146341456,61.585365853658544
Loracarbef,N[C@@H](C(=O)N[C@H]1[C@H]2CCC(Cl)=C(N2C1=O)C(O)=O)C1=CC=CC=C1,acid_hydrolysis,HCl,moderate,high,medium,medium,60.0,4.0,0.1,1.2,100.0,0.0,7.0,3.0,7.26,3.06,349.769,-2.4,-3.0,112.73,3.0,5.0,4.0,3.0,2.93,7.23,95.8,95.8,4.200000000000003,42.14876033057848,57.85123966942152
Timolol,[H][C@](O)(CNC(C)(C)C)COC1=NSN=C1N1CCOCC1,acid_hydrolysis,HCl,moderate,high,medium,medium,60.0,4.0,0.1,1.2,100.0,0.0,8.0,4.0,6.78,2.84,316.42,1.34,-3.1,79.74,2.0,7.0,7.0,2.0,14.08,9.76,96.06,96.06,3.9399999999999977,41.887905604719755,58.112094395280245
Mazindol,OC1(N2CCN=C2C2=CC=CC=C12)C1=CC=C(Cl)C=C1,acid_hydrolysis,HCl,moderate,high,medium,medium,60.0,4.0,0.1,1.2,100.0,0.0,5.0,2.5,6.68,2.78,284.74,3.44,-3.3,35.83,1.0,3.0,1.0,4.0,11.61,3.86,96.1,96.1,3.9000000000000057,41.61676646706582,58.38323353293418
Lercanidipine,COC(=O)C1=C(C)NC(C)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OC(C)(C)CN(C)CCC(C1=CC=CC=C1)C1=CC=CC=C1,acid_hydrolysis,HCl,moderate,mid,medium,low,40.0,4.5,0.03,1.75,100.0,0.0,5.0,1.5,5.2,2.18,611.7272,6.41,-6.6,111.01,1.0,6.0,14.0,4.0,16.96,9.36,96.98,96.98,3.019999999999996,41.9230769230769,58.0769230769231
Ramipril,[H][C@@]12CCC[C@]1([H])N([C@@H](C2)C(O)=O)C(=O)[C@H](C)N[C@@H](CCC1=CC=CC=C1)C(=O)OCC,acid_hydrolysis,HCl,mild,low,medium,low,25.0,6.0,0.01,2.0,100.0,0.0,1.0,0.5,1.97,0.82,416.5106,1.47,-4.0,95.94,2.0,5.0,10.0,3.0,3.75,5.2,98.85,98.85,1.1500000000000057,41.62436548223352,58.37563451776648
Adenosine phosphate,NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1,base_hydrolysis,NaOH,moderate,mid,medium,medium,40.0,6.0,0.1,13.0,100.0,0.0,5.5,2.0,7.79,3.29,347.2212,-4.7,,186.07,5.0,10.0,4.0,3.0,1.23,3.92,95.5,95.5,4.5,42.233632862644384,57.766367137355616
Calcifediol,C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,acid_hydrolysis,HCl,moderate,mid,medium,medium,40.0,6.0,0.1,1.2,100.0,0.0,7.0,3.5,6.11,2.53,400.6371,5.65,-5.3,40.46,2.0,2.0,6.0,3.0,18.38,-0.98,96.42,96.42,3.5799999999999983,41.4075286415712,58.5924713584288
Linezolid,CC(=O)NC[C@H]1CN(C(=O)O1)C1=CC(F)=C(C=C1)N1CCOCC1,acid_hydrolysis,HCl,strong,high,short,high,60.0,0.5,1.0,0.5,100.0,0.0,12.0,4.5,14.16,6.04,337.3461,0.64,-2.4,71.11,1.0,5.0,4.0,3.0,14.85,-1.2,91.88000000000001,91.88000000000001,8.11999999999999,42.65536723163843,57.34463276836157
Dydrogesterone,[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@]1([H])[C@@]2([H])C=CC2=CC(=O)CC[C@@]12C,acid_hydrolysis,HCl,mild,low,medium,medium,25.0,13.0,0.3,1.0,100.0,0.0,3.0,1.2,2.6,1.05,312.4458,3.79,-4.8,34.14,0.0,2.0,1.0,4.0,19.4,-4.8,98.45,98.45,1.5499999999999972,40.38461538461547,59.61538461538453
