stress_type,reagent,strength,unit,temperature_C,duration_hr,light_lux_hr,uv_Wh_m2,humidity_RH,citation_id,paper_title
acid_hydrolysis,HCl,2.0,M,,72.0,,200.0,,Chemometrics Approaches in Forced Degradation,Chemometrics Approaches in Forced Degradation
acid_hydrolysis,HCl,1.0,M,,72.0,,200.0,,Chemometrics Approaches in Forced Degradation,Chemometrics Approaches in Forced Degradation
acid_hydrolysis,HCl,1.0,M,,336.0,,200.0,,Chemometrics Approaches in Forced Degradation,Chemometrics Approaches in Forced Degradation
acid_hydrolysis,HCl,2.0,M,,336.0,,200.0,,Chemometrics Approaches in Forced Degradation,Chemometrics Approaches in Forced Degradation
acid_hydrolysis,HCl,0.1,M,,8.0,,200.0,,Chemometrics Approaches in Forced Degradation,Chemometrics Approaches in Forced Degradation
acid_hydrolysis,HCl,2.0,M,,8.0,,,,Chemometrics Approaches in Forced Degradation,Chemometrics Approaches in Forced Degradation
acid_hydrolysis,HCl,0.1,M,,85.0,,,,Chemometrics Approaches in Forced Degradation,Chemometrics Approaches in Forced Degradation
acid_hydrolysis,HCl,1.0,M,,70.0,,,,Chemometrics Approaches in Forced Degradation,Chemometrics Approaches in Forced Degradation
acid_hydrolysis,HCl,1.0,M,,1.0,,,,Chemometrics Approaches in Forced Degradation,Chemometrics Approaches in Forced Degradation
base_hydrolysis,NaOH,2.0,M,,72.0,,200.0,,Chemometrics Approaches in Forced Degradation,Chemometrics Approaches in Forced Degradation
base_hydrolysis,NaOH,0.01,M,,72.0,,200.0,,Chemometrics Approaches in Forced Degradation,Chemometrics Approaches in Forced Degradation
base_hydrolysis,NaOH,0.1,M,,8.0,,200.0,,Chemometrics Approaches in Forced Degradation,Chemometrics Approaches in Forced Degradation
base_hydrolysis,NaOH,2.0,M,,8.0,,,,Chemometrics Approaches in Forced Degradation,Chemometrics Approaches in Forced Degradation
base_hydrolysis,NaOH,0.1,M,,8.0,,,,Chemometrics Approaches in Forced Degradation,Chemometrics Approaches in Forced Degradation
base_hydrolysis,NaOH,0.5,M,,70.0,,,,Chemometrics Approaches in Forced Degradation,Chemometrics Approaches in Forced Degradation
base_hydrolysis,NaOH,1.0,M,,1.0,,,,Chemometrics Approaches in Forced Degradation,Chemometrics Approaches in Forced Degradation
photolysis,light,,NA,,72.0,,200.0,,Chemometrics Approaches in Forced Degradation,Chemometrics Approaches in Forced Degradation
photolysis,light,,NA,,2.0,,200.0,,Chemometrics Approaches in Forced Degradation,Chemometrics Approaches in Forced Degradation
photolysis,light,,NA,,336.0,,200.0,,Chemometrics Approaches in Forced Degradation,Chemometrics Approaches in Forced Degradation
humidity,RH,,NA,10.0,,,,75.0,Paper-1,Paper-1
thermal,dry_heat,,NA,10.0,,,,75.0,Paper-1,Paper-1
thermal,dry_heat,,NA,10.0,,,,75.0,Paper-1,Paper-1
thermal,dry_heat,,NA,10.0,,,,75.0,Paper-1,Paper-1
acid_hydrolysis,HCl,0.5,N,80.0,,,,,Paper-1,Paper-1
base_hydrolysis,NaOH,0.5,N,80.0,,,,,Paper-1,Paper-1
humidity,RH,,NA,25.0,,,,60.0,Paper-1,Paper-1
humidity,RH,,NA,25.0,,,,60.0,Paper-1,Paper-1
thermal,dry_heat,,NA,40.0,,,,,Paper-1,Paper-1
thermal,dry_heat,,NA,25.0,,,,60.0,Paper-1,Paper-1
thermal,dry_heat,,NA,25.0,,,,60.0,Paper-1,Paper-1
thermal,dry_heat,,NA,80.0,,,,,Paper-1,Paper-1
thermal,dry_heat,,NA,25.0,48.0,,,,Paper-1,Paper-1
photolysis,light,,NA,,,1200000.0,,,Paper-10,Paper-10
photolysis,light,,NA,,,1200000.0,,,Paper-10,Paper-10
humidity,RH,,NA,,,,,45.0,Paper-10,Paper-10
photolysis,light,,NA,,,1200000.0,,,Paper-10,Paper-10
photolysis,light,,NA,,,1.2,,,Paper-10,Paper-10
photolysis,light,,NA,,,1.2,,,Paper-10,Paper-10
photolysis,light,,NA,,,1200000.0,,,Paper-10,Paper-10
photolysis,light,,NA,,,1200000.0,,,Paper-10,Paper-10
acid_hydrolysis,HCl,0.1,M,,168.0,,,,Paper-11,Paper-11
acid_hydrolysis,HCl,0.1,N,,48.0,,,,Paper-11,Paper-11
acid_hydrolysis,HCl,0.1,M,,,,,,Paper-11,Paper-11
acid_hydrolysis,HCl,0.1,N,,,,,,Paper-11,Paper-11
acid_hydrolysis,HCl,1.0,N,110.0,3.0,,,,Paper-12,Paper-12
base_hydrolysis,NaOH,1.0,N,110.0,3.0,,,,Paper-12,Paper-12
thermal,dry_heat,,NA,110.0,3.0,,,,Paper-12,Paper-12
thermal,dry_heat,,NA,110.0,3.0,,,,Paper-12,Paper-12
thermal,dry_heat,,NA,2.0,48.0,,,,Paper-12,Paper-12
acid_hydrolysis,HCl,1.0,N,60.0,,,,,Paper-12,Paper-12
acid_hydrolysis,HCl,1.0,N,60.0,1.0,,,,Paper-12,Paper-12
base_hydrolysis,NaOH,1.0,N,60.0,,,,,Paper-12,Paper-12
base_hydrolysis,NaOH,1.0,N,60.0,,,,,Paper-12,Paper-12
oxidation,H2O2,3.0,%,60.0,1.0,,,,Paper-12,Paper-12
thermal,dry_heat,,NA,60.0,,,,,Paper-12,Paper-12
thermal,dry_heat,,NA,60.0,1.0,,,,Paper-12,Paper-12
thermal,dry_heat,,NA,60.0,1.0,,,,Paper-12,Paper-12
thermal,dry_heat,,NA,60.0,1.0,,,,Paper-12,Paper-12
acid_hydrolysis,HCl,1.0,N,110.0,3.0,,,,Paper-12,Paper-12
base_hydrolysis,NaOH,1.0,N,110.0,3.0,,,,Paper-12,Paper-12
thermal,dry_heat,,NA,110.0,3.0,,,,Paper-12,Paper-12
